batch_size,context_tokens,arithmetic_intensity_FLOP_per_byte
1,2048,0.9952293776461955
2,2048,1.9810081137020956
4,2048,3.9247470525194488
8,2048,7.704546644047409
16,2048,14.860278397720288
32,2048,27.744260949010993
64,2048,48.97521736460829
128,2048,79.32736558850502
256,2048,114.9459601273483
512,2048,148.22247269937918
1024,2048,173.3086398231638
2048,2048,189.3304156073771
1,8192,0.9811867631298622
2,8192,1.9261366610118522
4,8192,3.715069599430072
8,8192,6.936065237252748
16,8192,12.243804341152073
32,8192,19.831841397126254
64,8192,28.736490031837075
128,8192,37.055618174844795
256,8192,43.32715995579095
512,8192,47.33260390184427
1024,8192,49.62650190753107
2048,8192,50.8588990014322
1,32768,0.928767399857518
2,32768,1.734016309313187
4,32768,3.060951085288018
8,32768,4.957960349281564
16,32768,7.184122507959269
32,32768,9.263904543711199
64,32768,10.831789988947737
128,32768,11.833150975461068
256,32768,12.406625476882768
512,32768,12.71472475035805
1024,32768,12.87458490993316
2048,32768,12.956031947729475
